ID,Severity,Start_Time,End_Time,City,State,Temperature(F),Weather_Condition,Visibility(mi),Humidity(%),Wind_Speed(mph)
A39,1,2021-01-02 15:00:00,2021-01-02 16:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A40,2,2021-01-02 16:00:00,2021-01-02 17:00:00,New York,NY,70,Clear,10.0,50,5.0
A41,3,2021-01-02 17:00:00,2021-01-02 18:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A42,2,2021-01-02 18:00:00,2021-01-02 19:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A43,4,2021-01-02 19:00:00,2021-01-02 20:00:00,Houston,TX,80,Fog,8.0,80,6.0
A44,1,2021-01-02 20:00:00,2021-01-02 21:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A45,2,2021-01-02 21:00:00,2021-01-02 22:00:00,New York,NY,70,Clear,10.0,50,5.0
A46,3,2021-01-02 22:00:00,2021-01-02 23:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A47,2,2021-01-02 23:00:00,2021-01-03 00:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A48,4,2021-01-03 00:00:00,2021-01-03 01:00:00,Houston,TX,80,Fog,8.0,80,6.0
A49,1,2021-01-03 01:00:00,2021-01-03 02:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A50,2,2021-01-03 02:00:00,2021-01-03 03:00:00,New York,NY,70,Clear,10.0,50,5.0
A51,3,2021-01-03 03:00:00,2021-01-03 04:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A52,2,2021-01-03 04:00:00,2021-01-03 05:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A53,4,2021-01-03 05:00:00,2021-01-03 06:00:00,Houston,TX,80,Fog,8.0,80,6.0
A54,1,2021-01-03 06:00:00,2021-01-03 07:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A55,2,2021-01-03 07:00:00,2021-01-03 08:00:00,New York,NY,70,Clear,10.0,50,5.0
A56,3,2021-01-03 08:00:00,2021-01-03 09:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A57,2,2021-01-03 09:00:00,2021-01-03 10:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A58,4,2021-01-03 10:00:00,2021-01-03 11:00:00,Houston,TX,80,Fog,8.0,80,6.0
A59,1,2021-01-03 11:00:00,2021-01-03 12:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A60,2,2021-01-03 12:00:00,2021-01-03 13:00:00,New York,NY,70,Clear,10.0,50,5.0
A61,3,2021-01-03 13:00:00,2021-01-03 14:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A62,2,2021-01-03 14:00:00,2021-01-03 15:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A63,4,2021-01-03 15:00:00,2021-01-03 16:00:00,Houston,TX,80,Fog,8.0,80,6.0
A64,1,2021-01-03 16:00:00,2021-01-03 17:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A65,2,2021-01-03 17:00:00,2021-01-03 18:00:00,New York,NY,70,Clear,10.0,50,5.0
A66,3,2021-01-03 18:00:00,2021-01-03 19:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A67,2,2021-01-03 19:00:00,2021-01-03 20:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A68,4,2021-01-03 20:00:00,2021-01-03 21:00:00,Houston,TX,80,Fog,8.0,80,6.0
A69,1,2021-01-03 21:00:00,2021-01-03 22:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A70,2,2021-01-03 22:00:00,2021-01-03 23:00:00,New York,NY,70,Clear,10.0,50,5.0
A71,3,2021-01-03 23:00:00,2021-01-04 00:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A72,2,2021-01-04 00:00:00,2021-01-04 01:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A73,4,2021-01-04 01:00:00,2021-01-04 02:00:00,Houston,TX,80,Fog,8.0,80,6.0
A74,1,2021-01-04 02:00:00,2021-01-04 03:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A75,2,2021-01-04 03:00:00,2021-01-04 04:00:00,New York,NY,70,Clear,10.0,50,5.0
A76,3,2021-01-04 04:00:00,2021-01-04 05:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A77,2,2021-01-04 05:00:00,2021-01-04 06:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A78,4,2021-01-04 06:00:00,2021-01-04 07:00:00,Houston,TX,80,Fog,8.0,80,6.0
A79,1,2021-01-04 07:00:00,2021-01-04 08:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A80,2,2021-01-04 08:00:00,2021-01-04 09:00:00,New York,NY,70,Clear,10.0,50,5.0
A81,3,2021-01-04 09:00:00,2021-01-04 10:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A82,2,2021-01-04 10:00:00,2021-01-04 11:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A83,4,2021-01-04 11:00:00,2021-01-04 12:00:00,Houston,TX,80,Fog,8.0,80,6.0
A84,1,2021-01-04 12:00:00,2021-01-04 13:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A85,2,2021-01-04 13:00:00,2021-01-04 14:00:00,New York,NY,70,Clear,10.0,50,5.0
A86,3,2021-01-04 14:00:00,2021-01-04 15:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A87,2,2021-01-04 15:00:00,2021-01-04 16:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A88,4,2021-01-04 16:00:00,2021-01-04 17:00:00,Houston,TX,80,Fog,8.0,80,6.0
A89,1,2021-01-04 17:00:00,2021-01-04 18:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A90,2,2021-01-04 18:00:00,2021-01-04 19:00:00,New York,NY,70,Clear,10.0,50,5.0
A91,3,2021-01-04 19:00:00,2021-01-04 20:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A92,2,2021-01-04 20:00:00,2021-01-04 21:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A93,4,2021-01-04 21:00:00,2021-01-04 22:00:00,Houston,TX,80,Fog,8.0,80,6.0
A94,1,2021-01-04 22:00:00,2021-01-04 23:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A95,2,2021-01-04 23:00:00,2021-01-05 00:00:00,New York,NY,70,Clear,10.0,50,5.0
A96,3,2021-01-05 00:00:00,2021-01-05 01:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A97,2,2021-01-05 01:00:00,2021-01-05 02:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A98,4,2021-01-05 02:00:00,2021-01-05 03:00:00,Houston,TX,80,Fog,8.0,80,6.0
A99,1,2021-01-05 03:00:00,2021-01-05 04:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A100,2,2021-01-05 04:00:00,2021-01-05 05:00:00,New York,NY,70,Clear,10.0,50,5.0
A101,3,2021-01-05 05:00:00,2021-01-05 06:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A102,2,2021-01-05 06:00:00,2021-01-05 07:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A103,4,2021-01-05 07:00:00,2021-01-05 08:00:00,Houston,TX,80,Fog,8.0,80,6.0
A104,1,2021-01-05 08:00:00,2021-01-05 09:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A105,2,2021-01-05 09:00:00,2021-01-05 10:00:00,New York,NY,70,Clear,10.0,50,5.0
A106,3,2021-01-05 10:00:00,2021-01-05 11:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A107,2,2021-01-05 11:00:00,2021-01-05 12:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A108,4,2021-01-05 12:00:00,2021-01-05 13:00:00,Houston,TX,80,Fog,8.0,80,6.0
A109,1,2021-01-05 13:00:00,2021-01-05 14:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A110,2,2021-01-05 14:00:00,2021-01-05 15:00:00,New York,NY,70,Clear,10.0,50,5.0
A111,3,2021-01-05 15:00:00,2021-01-05 16:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A112,2,2021-01-05 16:00:00,2021-01-05 17:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A113,4,2021-01-05 17:00:00,2021-01-05 18:00:00,Houston,TX,80,Fog,8.0,80,6.0
A114,1,2021-01-05 18:00:00,2021-01-05 19:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A115,2,2021-01-05 19:00:00,2021-01-05 20:00:00,New York,NY,70,Clear,10.0,50,5.0
A116,3,2021-01-05 20:00:00,2021-01-05 21:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A117,2,2021-01-05 21:00:00,2021-01-05 22:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A118,4,2021-01-05 22:00:00,2021-01-05 23:00:00,Houston,TX,80,Fog,8.0,80,6.0
A119,1,2021-01-05 23:00:00,2021-01-06 00:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A120,2,2021-01-06 00:00:00,2021-01-06 01:00:00,New York,NY,70,Clear,10.0,50,5.0
A121,3,2021-01-06 01:00:00,2021-01-06 02:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A122,2,2021-01-06 02:00:00,2021-01-06 03:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A123,4,2021-01-06 03:00:00,2021-01-06 04:00:00,Houston,TX,80,Fog,8.0,80,6.0
A124,1,2021-01-06 04:00:00,2021-01-06 05:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A125,2,2021-01-06 05:00:00,2021-01-06 06:00:00,New York,NY,70,Clear,10.0,50,5.0
A126,3,2021-01-06 06:00:00,2021-01-06 07:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A127,2,2021-01-06 07:00:00,2021-01-06 08:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A128,4,2021-01-06 08:00:00,2021-01-06 09:00:00,Houston,TX,80,Fog,8.0,80,6.0
A129,1,2021-01-06 09:00:00,2021-01-06 10:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A130,2,2021-01-06 10:00:00,2021-01-06 11:00:00,New York,NY,70,Clear,10.0,50,5.0
A131,3,2021-01-06 11:00:00,2021-01-06 12:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A132,2,2021-01-06 12:00:00,2021-01-06 13:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A133,4,2021-01-06 13:00:00,2021-01-06 14:00:00,Houston,TX,80,Fog,8.0,80,6.0
A134,1,2021-01-06 14:00:00,2021-01-06 15:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A135,2,2021-01-06 15:00:00,2021-01-06 16:00:00,New York,NY,70,Clear,10.0,50,5.0
A136,3,2021-01-06 16:00:00,2021-01-06 17:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A137,2,2021-01-06 17:00:00,2021-01-06 18:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A138,4,2021-01-06 18:00:00,2021-01-06 19:00:00,Houston,TX,80,Fog,8.0,80,6.0
A139,1,2021-01-06 19:00:00,2021-01-06 20:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A140,2,2021-01-06 20:00:00,2021-01-06 21:00:00,New York,NY,70,Clear,10.0,50,5.0
A141,3,2021-01-06 21:00:00,2021-01-06 22:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A142,2,2021-01-06 22:00:00,2021-01-06 23:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A143,4,2021-01-06 23:00:00,2021-01-07 00:00:00,Houston,TX,80,Fog,8.0,80,6.0
A144,1,2021-01-07 00:00:00,2021-01-07 01:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A145,2,2021-01-07 01:00:00,2021-01-07 02:00:00,New York,NY,70,Clear,10.0,50,5.0
A146,3,2021-01-07 02:00:00,2021-01-07 03:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A147,2,2021-01-07 03:00:00,2021-01-07 04:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A148,4,2021-01-07 04:00:00,2021-01-07 05:00:00,Houston,TX,80,Fog,8.0,80,6.0
A149,1,2021-01-07 05:00:00,2021-01-07 06:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A150,2,2021-01-07 06:00:00,2021-01-07 07:00:00,New York,NY,70,Clear,10.0,50,5.0
A151,3,2021-01-07 07:00:00,2021-01-07 08:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A152,2,2021-01-07 08:00:00,2021-01-07 09:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A153,4,2021-01-07 09:00:00,2021-01-07 10:00:00,Houston,TX,80,Fog,8.0,80,6.0
A154,1,2021-01-07 10:00:00,2021-01-07 11:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A155,2,2021-01-07 11:00:00,2021-01-07 12:00:00,New York,NY,70,Clear,10.0,50,5.0
A156,3,2021-01-07 12:00:00,2021-01-07 13:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A157,2,2021-01-07 13:00:00,2021-01-07 14:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A158,4,2021-01-07 14:00:00,2021-01-07 15:00:00,Houston,TX,80,Fog,8.0,80,6.0
A159,1,2021-01-07 15:00:00,2021-01-07 16:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A160,2,2021-01-07 16:00:00,2021-01-07 17:00:00,New York,NY,70,Clear,10.0,50,5.0
A161,3,2021-01-07 17:00:00,2021-01-07 18:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A162,2,2021-01-07 18:00:00,2021-01-07 19:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A163,4,2021-01-07 19:00:00,2021-01-07 20:00:00,Houston,TX,80,Fog,8.0,80,6.0
A164,1,2021-01-07 20:00:00,2021-01-07 21:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A165,2,2021-01-07 21:00:00,2021-01-07 22:00:00,New York,NY,70,Clear,10.0,50,5.0
A166,3,2021-01-07 22:00:00,2021-01-07 23:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A167,2,2021-01-07 23:00:00,2021-01-08 00:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A168,4,2021-01-08 00:00:00,2021-01-08 01:00:00,Houston,TX,80,Fog,8.0,80,6.0
A169,1,2021-01-08 01:00:00,2021-01-08 02:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A170,2,2021-01-08 02:00:00,2021-01-08 03:00:00,New York,NY,70,Clear,10.0,50,5.0
A171,3,2021-01-08 03:00:00,2021-01-08 04:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A172,2,2021-01-08 04:00:00,2021-01-08 05:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A173,4,2021-01-08 05:00:00,2021-01-08 06:00:00,Houston,TX,80,Fog,8.0,80,6.0
A174,1,2021-01-08 06:00:00,2021-01-08 07:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A175,2,2021-01-08 07:00:00,2021-01-08 08:00:00,New York,NY,70,Clear,10.0,50,5.0
A176,3,2021-01-08 08:00:00,2021-01-08 09:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A177,2,2021-01-08 09:00:00,2021-01-08 10:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A178,4,2021-01-08 10:00:00,2021-01-08 11:00:00,Houston,TX,80,Fog,8.0,80,6.0
A179,1,2021-01-08 11:00:00,2021-01-08 12:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A180,2,2021-01-08 12:00:00,2021-01-08 13:00:00,New York,NY,70,Clear,10.0,50,5.0
A181,3,2021-01-08 13:00:00,2021-01-08 14:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A182,2,2021-01-08 14:00:00,2021-01-08 15:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A183,4,2021-01-08 15:00:00,2021-01-08 16:00:00,Houston,TX,80,Fog,8.0,80,6.0
A184,1,2021-01-08 16:00:00,2021-01-08 17:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A185,2,2021-01-08 17:00:00,2021-01-08 18:00:00,New York,NY,70,Clear,10.0,50,5.0
A186,3,2021-01-08 18:00:00,2021-01-08 19:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A187,2,2021-01-08 19:00:00,2021-01-08 20:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A188,4,2021-01-08 20:00:00,2021-01-08 21:00:00,Houston,TX,80,Fog,8.0,80,6.0
A189,1,2021-01-08 21:00:00,2021-01-08 22:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A190,2,2021-01-08 22:00:00,2021-01-08 23:00:00,New York,NY,70,Clear,10.0,50,5.0
A191,3,2021-01-08 23:00:00,2021-01-09 00:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A192,2,2021-01-09 00:00:00,2021-01-09 01:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A193,4,2021-01-09 01:00:00,2021-01-09 02:00:00,Houston,TX,80,Fog,8.0,80,6.0
A194,1,2021-01-09 02:00:00,2021-01-09 03:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A195,2,2021-01-09 03:00:00,2021-01-09 04:00:00,New York,NY,70,Clear,10.0,50,5.0
A196,3,2021-01-09 04:00:00,2021-01-09 05:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A197,2,2021-01-09 05:00:00,2021-01-09 06:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A198,4,2021-01-09 06:00:00,2021-01-09 07:00:00,Houston,TX,80,Fog,8.0,80,6.0
A199,1,2021-01-09 07:00:00,2021-01-09 08:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A200,2,2021-01-09 08:00:00,2021-01-09 09:00:00,New York,NY,70,Clear,10.0,50,5.0
A201,3,2021-01-09 09:00:00,2021-01-09 10:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A202,2,2021-01-09 10:00:00,2021-01-09 11:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A203,4,2021-01-09 11:00:00,2021-01-09 12:00:00,Houston,TX,80,Fog,8.0,80,6.0
A204,1,2021-01-09 12:00:00,2021-01-09 13:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A205,2,2021-01-09 13:00:00,2021-01-09 14:00:00,New York,NY,70,Clear,10.0,50,5.0
A206,3,2021-01-09 14:00:00,2021-01-09 15:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A207,2,2021-01-09 15:00:00,2021-01-09 16:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A208,4,2021-01-09 16:00:00,2021-01-09 17:00:00,Houston,TX,80,Fog,8.0,80,6.0
A209,1,2021-01-09 17:00:00,2021-01-09 18:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A210,2,2021-01-09 18:00:00,2021-01-09 19:00:00,New York,NY,70,Clear,10.0,50,5.0
A211,3,2021-01-09 19:00:00,2021-01-09 20:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A212,2,2021-01-09 20:00:00,2021-01-09 21:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A213,4,2021-01-09 21:00:00,2021-01-09 22:00:00,Houston,TX,80,Fog,8.0,80,6.0
A214,1,2021-01-09 22:00:00,2021-01-09 23:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A215,2,2021-01-09 23:00:00,2021-01-10 00:00:00,New York,NY,70,Clear,10.0,50,5.0
A216,3,2021-01-10 00:00:00,2021-01-10 01:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A217,2,2021-01-10 01:00:00,2021-01-10 02:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A218,4,2021-01-10 02:00:00,2021-01-10 03:00:00,Houston,TX,80,Fog,8.0,80,6.0
A219,1,2021-01-10 03:00:00,2021-01-10 04:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A220,2,2021-01-10 04:00:00,2021-01-10 05:00:00,New York,NY,70,Clear,10.0,50,5.0
A221,3,2021-01-10 05:00:00,2021-01-10 06:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A222,2,2021-01-10 06:00:00,2021-01-10 07:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A223,4,2021-01-10 07:00:00,2021-01-10 08:00:00,Houston,TX,80,Fog,8.0,80,6.0
A224,1,2021-01-10 08:00:00,2021-01-10 09:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A225,2,2021-01-10 09:00:00,2021-01-10 10:00:00,New York,NY,70,Clear,10.0,50,5.0
A226,3,2021-01-10 10:00:00,2021-01-10 11:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A227,2,2021-01-10 11:00:00,2021-01-10 12:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A228,4,2021-01-10 12:00:00,2021-01-10 13:00:00,Houston,TX,80,Fog,8.0,80,6.0
A229,1,2021-01-10 13:00:00,2021-01-10 14:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A230,2,2021-01-10 14:00:00,2021-01-10 15:00:00,New York,NY,70,Clear,10.0,50,5.0
A231,3,2021-01-10 15:00:00,2021-01-10 16:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A232,2,2021-01-10 16:00:00,2021-01-10 17:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A233,4,2021-01-10 17:00:00,2021-01-10 18:00:00,Houston,TX,80,Fog,8.0,80,6.0
A234,1,2021-01-10 18:00:00,2021-01-10 19:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A235,2,2021-01-10 19:00:00,2021-01-10 20:00:00,New York,NY,70,Clear,10.0,50,5.0
A236,3,2021-01-10 20:00:00,2021-01-10 21:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A237,2,2021-01-10 21:00:00,2021-01-10 22:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A238,4,2021-01-10 22:00:00,2021-01-10 23:00:00,Houston,TX,80,Fog,8.0,80,6.0
A239,1,2021-01-10 23:00:00,2021-01-11 00:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A240,2,2021-01-11 00:00:00,2021-01-11 01:00:00,New York,NY,70,Clear,10.0,50,5.0
A241,3,2021-01-11 01:00:00,2021-01-11 02:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A242,2,2021-01-11 02:00:00,2021-01-11 03:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A243,4,2021-01-11 03:00:00,2021-01-11 04:00:00,Houston,TX,80,Fog,8.0,80,6.0
A244,1,2021-01-11 04:00:00,2021-01-11 05:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A245,2,2021-01-11 05:00:00,2021-01-11 06:00:00,New York,NY,70,Clear,10.0,50,5.0
A246,3,2021-01-11 06:00:00,2021-01-11 07:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A247,2,2021-01-11 07:00:00,2021-01-11 08:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A248,4,2021-01-11 08:00:00,2021-01-11 09:00:00,Houston,TX,80,Fog,8.0,80,6.0
